,X03363_s_at,X05908_at,U15131_at,L49054_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,U52155_at,M61156_at,M77235_at,L14856_at,D83174_s_at,U47621_at,J03191_at,U41387_at,Class
101,18,-4,-162,27,13,-14,53,176,89,566,222,90,79,21,262,63,202,-54,16,23,MGL
102,90,383,-88,53,25,-4,13,-7,142,296,312,134,35,17,125,29,214,25,228,41,RHB
103,24,17,-1339,26,-7,-69,74,-42,118,989,760,-10,7,-3,166,-5,219,-146,158,12,MED
104,8,-5,-160,25,12,-26,16,-42,59,1151,718,55,43,13,245,33,387,-17,151,-11,MED
105,217,736,111,210,16,-11,42,-18,120,35,301,114,33,10,124,18,316,4,253,49,EPD
106,-8,12,-270,21,20,-31,27,-33,-21,512,510,26,58,20,241,44,187,-106,176,-18,MED
107,22,11,-207,25,3,3,6,-3,62,707,836,43,25,32,105,7,322,19,236,7,MED
108,27,2,-67,39,8,-7,16,-16,111,1080,749,47,36,12,132,19,91,6,48,53,MED
109,107,640,96,167,42,5,29,96,235,128,273,150,30,16,110,-23,342,40,333,50,EPD
110,32,51,57,24,78,61,264,833,180,369,306,219,40,21,138,20,120,11,240,38,JPA
111,48,157,61,31,131,75,245,834,211,334,261,213,42,20,119,54,126,25,276,38,JPA
112,41,2,-15,23,6,-9,18,-41,68,1190,511,50,47,11,231,84,132,-13,20,62,MED
113,23,31,21,16,7,-20,13,-3,66,959,676,65,10,16,111,-16,119,39,276,101,MED
114,5,-12,-289,21,10,-18,11,-67,22,912,1035,17,38,12,172,28,137,-43,-9,11,MED
115,11,40,-828,24,4,-16,21,-88,-660,1182,525,-10,26,10,251,-11,176,-51,130,16,MED
116,-7,4,-389,20,1,-39,10,-112,26,529,729,3,21,13,237,7,556,-42,227,3,MED
117,10,153,-46,56,17,-21,16,240,192,429,228,206,51,15,143,30,223,-12,198,78,MGL
118,21,148,-85,27,10,-8,16,210,83,992,549,97,9,19,123,-8,215,62,218,91,MED
119,16,28,-17,21,3,-19,15,11,87,1348,736,34,1,-15,107,13,331,74,270,91,MED
120,47,1291,-75,25,18,-16,18,180,196,569,563,231,18,29,121,18,2125,115,863,291,RHB
121,75,747,79,43,8,-13,70,278,225,167,278,144,3,21,102,31,906,54,441,139,RHB
122,15,11,-116,44,0,-43,30,-75,37,651,540,39,56,10,253,28,146,-44,126,35,MED
123,28,208,-79,17,19,0,11,185,241,99,140,69,59,28,183,35,630,126,346,26,MGL
