SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,X72964_at,X99350_rna1_at,U85611_at,X76105_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,U39817_at,M57466_s_at,M63623_at,U20350_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U45955_at,D16481_at,X04828_at,U07802_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,HG4115-HT4385_at,L42563_at,Z34975_at,Z80788_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at,Y07604_at,X05130_s_at,AJ001421_at,D45248_at
1,20,77,20,20,20,20,20,76,126,20,72,164,20,20,20,20,21,40,20,20,20,101,20,20,66,931,724,105,80,179,121,592,54,104,35,72,20,20,124,20,81,200,49,168,115,33,106,20,189,68,338,43,52,20,99,20,193,415,79,141
2,29,43,20,28,24,20,20,20,68,20,52,62,20,20,20,45,54,26,23,20,20,82,20,20,69,845,579,60,68,192,59,317,154,145,23,62,20,20,127,20,83,228,31,148,133,39,167,20,152,33,198,42,53,60,78,20,80,243,104,84
3,28,20,20,25,20,72,64,26,170,20,55,80,20,20,20,20,20,20,20,20,20,20,20,20,71,1107,608,25,41,215,64,387,133,128,59,46,20,20,126,20,60,206,39,139,117,42,147,20,95,20,197,87,20,23,68,20,143,263,98,201
4,22,20,20,37,26,90,44,110,147,23,84,183,20,20,20,20,31,87,20,20,20,20,20,20,74,1187,619,55,87,187,74,312,148,130,126,66,24,20,126,20,81,219,33,116,117,39,107,20,208,46,365,49,85,41,127,20,199,390,94,143
5,24,20,23,21,20,76,31,20,190,26,58,82,20,20,32,20,20,21,42,20,20,39,20,23,93,969,676,40,20,263,24,370,65,90,20,61,41,20,136,20,75,222,42,150,128,50,112,20,124,20,195,41,24,27,98,20,109,239,70,177
6,33,20,20,37,25,103,40,20,225,20,56,208,20,20,20,20,20,31,98,20,20,20,20,20,99,1172,651,34,121,233,30,278,122,81,118,33,34,20,127,20,77,244,36,119,128,51,113,27,96,20,73,67,20,20,84,20,109,293,123,174
7,25,20,20,51,20,53,98,20,161,20,31,54,20,20,20,20,20,20,20,20,20,20,20,20,85,1010,751,61,29,252,37,281,20,61,20,39,20,20,138,20,74,248,47,135,148,61,204,20,97,20,64,47,20,20,108,20,65,261,68,199
8,20,20,20,20,20,20,20,20,97,20,61,20,20,20,20,20,20,20,20,20,20,193,20,20,101,588,243,32,28,173,31,197,20,44,29,65,37,20,220,40,119,354,87,196,211,87,144,47,275,20,130,20,20,77,98,20,189,113,37,42
9,20,20,20,20,20,32,22,20,200,20,55,20,20,20,20,20,20,20,30,20,20,62,20,28,35,928,927,20,20,200,53,199,103,47,103,94,20,20,166,20,122,321,64,154,173,98,146,42,290,20,96,20,20,20,90,20,116,191,22,27
10,20,20,20,20,20,20,20,20,129,20,60,20,20,20,20,20,20,20,20,20,20,20,20,20,110,469,927,31,20,154,57,291,82,46,20,44,23,20,198,20,102,341,68,162,187,91,129,20,320,20,269,20,24,20,88,20,446,176,104,21
11,20,20,20,20,20,20,20,20,84,20,41,20,20,20,20,20,20,20,32,20,20,20,20,20,65,579,606,20,20,170,20,68,20,20,20,61,20,20,251,39,158,308,72,190,210,81,169,52,172,20,20,20,20,20,25,20,381,111,20,20
12,20,20,20,20,20,20,20,20,169,20,44,20,20,20,20,20,20,20,29,20,20,20,20,20,20,1237,871,20,20,299,20,320,24,35,20,27,30,20,238,47,124,336,90,271,222,93,145,42,147,20,133,20,20,20,68,20,152,73,23,87
13,20,20,20,20,20,20,20,20,129,20,100,33,20,20,25,20,20,20,20,20,20,20,20,20,20,812,1066,20,20,298,25,314,52,70,20,80,20,21,148,58,112,295,51,91,134,58,83,29,127,20,90,20,20,20,55,20,532,122,20,90
14,20,20,20,22,20,37,20,20,173,20,127,20,20,20,20,20,20,20,20,20,20,20,20,20,20,649,568,20,20,261,30,157,28,20,20,31,26,20,160,20,73,262,64,114,152,81,132,20,148,20,135,20,20,20,20,20,242,177,30,42
15,70,51,20,31,20,61,146,43,307,20,76,86,20,20,20,125,20,20,20,20,20,37,20,20,113,70,466,109,138,131,145,55,44,142,68,251,20,20,115,20,83,260,43,134,138,50,134,20,893,20,878,37,47,20,106,26,338,410,126,201
16,20,20,20,23,20,20,20,35,121,20,40,50,20,20,20,20,20,20,21,20,20,20,20,20,20,1032,746,30,45,215,39,307,46,31,20,36,20,20,155,20,50,270,50,106,135,68,212,35,165,20,223,29,20,22,102,20,426,302,75,39
17,23,29,20,23,22,71,41,114,132,20,75,84,20,20,20,20,34,52,101,20,20,20,20,20,98,880,472,95,58,142,88,321,97,89,125,112,20,20,154,33,123,264,54,143,209,61,187,34,475,20,365,63,94,143,178,20,151,355,145,109
18,20,20,20,23,20,103,47,26,122,33,79,82,20,20,20,20,20,49,20,20,20,82,20,20,129,984,581,48,47,171,37,322,26,80,54,62,33,20,177,31,97,256,49,109,180,58,137,24,207,20,367,63,49,62,130,20,154,192,95,82
19,20,20,20,34,20,64,20,20,170,20,85,27,20,20,20,20,20,20,20,20,20,20,20,20,99,1159,604,54,31,185,26,235,27,25,20,38,32,20,158,25,109,277,42,100,162,78,174,40,171,20,181,52,39,20,64,20,177,296,102,114
20,20,20,20,23,20,61,32,20,163,20,99,29,20,20,20,20,20,20,35,20,20,20,20,20,20,1108,908,24,36,178,75,296,223,80,20,52,20,20,140,32,39,294,46,86,153,58,148,34,162,20,305,23,20,20,61,20,246,171,100,88
21,20,20,20,29,20,37,20,20,117,20,72,20,20,20,20,20,28,20,20,20,20,20,20,30,55,740,699,52,66,222,42,270,96,31,55,69,28,20,121,20,49,277,47,126,153,66,157,38,205,20,219,20,23,21,100,20,80,250,107,149
22,20,20,20,26,20,20,20,20,166,20,56,20,20,20,20,20,20,20,20,20,20,20,20,20,20,1443,964,22,23,315,20,278,36,20,20,63,32,21,138,47,55,237,59,111,190,58,109,28,137,20,28,20,26,20,85,20,275,173,62,36
23,20,20,20,47,20,20,20,20,138,20,110,20,20,20,28,20,20,20,20,20,20,20,20,20,20,808,732,33,20,120,51,349,68,25,20,20,20,20,211,20,53,299,67,149,160,98,111,56,177,20,20,20,20,167,29,20,236,161,26,25
24,20,20,20,20,20,46,20,20,148,20,36,20,20,20,20,20,20,20,20,20,20,20,20,20,20,945,830,20,20,101,24,169,20,20,20,20,20,20,192,20,106,234,70,116,112,20,104,20,135,20,20,20,29,200,20,25,120,114,46,49
25,20,20,20,42,20,45,20,20,94,20,72,20,20,20,57,20,20,20,20,20,20,20,20,20,124,861,1093,30,20,152,28,415,20,47,20,31,75,25,227,20,92,250,41,174,163,92,101,39,130,20,113,20,23,20,46,20,96,73,20,25
26,30,20,20,42,20,115,41,20,203,30,54,56,20,20,20,20,20,20,20,20,20,20,20,20,100,981,515,59,23,259,20,173,20,98,22,41,66,20,144,41,65,201,45,128,155,55,131,29,134,20,122,98,31,20,145,20,137,340,136,120
27,20,20,20,20,20,20,52,20,75,20,67,20,20,20,20,20,20,20,20,20,20,20,20,20,25,378,634,27,20,186,52,65,63,83,20,75,22,20,109,20,84,225,81,181,177,56,227,30,764,20,274,20,20,20,41,20,245,198,20,51
28,20,24,20,35,20,20,20,20,133,20,53,66,20,20,20,20,20,20,20,20,20,20,20,20,54,626,534,69,20,219,55,224,60,24,20,50,20,25,196,23,142,325,51,121,238,67,185,43,326,20,176,61,66,20,148,20,306,198,170,43
29,21,20,20,20,20,20,20,20,175,20,30,49,20,20,28,20,20,20,54,20,20,22,20,20,52,1102,830,36,20,196,30,387,41,20,34,80,33,23,90,20,88,265,54,131,160,78,191,43,222,20,237,20,20,20,121,20,146,182,82,100
30,31,20,20,32,20,37,56,20,108,20,47,93,20,20,22,20,20,27,20,20,20,20,20,26,89,387,467,72,38,111,36,183,20,20,21,77,47,21,178,20,86,289,63,224,170,82,171,43,267,20,155,86,26,20,126,20,112,348,79,131
31,20,20,20,42,20,20,20,20,148,20,34,20,20,20,40,20,36,20,20,20,20,20,20,20,20,682,1106,20,20,147,49,100,20,48,20,20,23,20,206,20,57,271,68,67,175,105,123,41,48,20,20,27,20,106,50,20,100,115,23,20
32,20,20,20,32,20,168,20,20,177,20,249,20,46,20,22,20,20,20,20,20,20,20,20,20,120,747,842,54,20,137,20,198,21,23,29,20,36,20,167,20,76,291,69,148,181,66,166,21,131,20,51,20,20,86,34,20,50,103,20,70
33,54,20,20,31,24,20,37,20,110,20,69,45,20,20,20,20,20,20,33,20,20,20,20,20,84,407,573,102,85,189,58,300,66,83,44,154,24,20,134,20,113,229,51,199,151,59,175,22,567,29,309,187,35,20,159,20,257,412,145,141
34,20,20,20,23,20,20,20,20,124,20,70,40,20,20,26,20,20,20,20,20,20,21,20,25,67,699,576,45,26,148,24,418,40,48,20,57,46,20,204,20,172,399,58,146,257,77,150,48,184,20,112,24,30,20,71,20,289,127,72,47
35,20,20,20,32,26,20,20,20,127,20,53,49,20,20,39,20,20,25,108,20,20,20,56,67,83,874,696,90,38,204,98,320,310,74,73,81,20,25,185,38,142,303,52,131,225,78,153,23,144,20,106,46,23,20,102,20,205,164,138,82
36,20,20,20,38,20,20,20,48,135,25,71,108,20,20,20,20,20,40,25,20,20,25,20,27,69,872,791,64,38,208,39,385,20,33,20,51,29,20,182,20,105,269,44,168,189,61,148,20,187,25,196,55,35,20,127,20,177,195,92,96
37,30,20,20,41,20,20,20,29,197,23,66,87,20,20,20,20,20,20,20,20,20,20,20,20,62,848,631,63,49,185,47,353,20,49,20,43,34,20,181,42,96,287,53,164,194,61,140,27,209,20,309,31,33,20,119,20,367,296,84,116
38,37,20,20,36,24,20,20,20,142,21,20,108,20,20,28,20,20,20,81,20,20,20,20,20,76,1069,819,59,111,171,31,159,43,21,59,36,20,20,158,20,80,273,65,180,179,71,166,45,107,20,20,33,21,20,84,20,74,159,63,94
39,20,20,20,47,20,20,20,20,197,20,34,20,20,20,20,20,20,20,26,20,20,20,20,20,48,786,751,35,20,200,42,258,20,50,20,40,33,20,218,20,162,301,52,159,207,77,164,22,208,20,126,24,24,20,164,20,142,266,66,97
40,27,20,20,27,20,45,20,20,82,20,58,20,20,20,21,231,36,20,20,20,20,20,85,22,142,337,183,46,73,125,74,97,400,35,20,66,110,24,331,66,196,428,114,319,261,124,208,52,175,20,30,20,27,20,41,20,198,117,20,43
41,28,52,20,55,20,106,20,20,205,29,137,20,20,20,20,45,98,24,82,20,20,168,115,61,156,276,250,84,57,103,133,23,486,46,236,145,98,23,272,58,159,357,94,269,230,149,235,72,20,20,112,20,35,20,113,20,138,236,70,35
42,20,20,20,58,20,239,34,20,158,46,112,20,20,20,23,112,40,20,334,20,20,60,74,158,127,169,225,64,232,91,115,50,589,172,324,147,118,27,348,104,302,485,98,308,353,181,280,69,199,20,121,20,25,20,36,20,108,97,20,40
43,34,152,20,31,20,115,20,50,117,20,102,66,20,20,24,205,99,20,27,20,20,115,43,127,113,309,265,72,369,146,237,64,708,113,274,138,56,40,208,40,127,341,77,255,179,101,224,75,363,20,320,20,45,104,109,20,159,324,211,152
44,30,20,20,39,20,104,20,20,121,20,71,20,20,20,58,335,63,33,70,20,20,47,81,77,164,486,167,65,201,138,137,91,600,101,31,106,118,40,286,44,223,407,103,241,327,272,207,105,179,20,20,29,51,20,65,20,145,139,42,37
45,27,20,20,36,20,207,20,20,107,38,117,20,20,20,21,110,44,20,20,20,20,20,116,45,111,177,93,85,82,125,117,54,726,34,33,71,98,30,317,98,277,487,95,312,372,210,247,53,175,20,47,20,33,20,42,20,161,122,20,21
46,20,30,20,47,20,235,23,20,239,49,107,20,20,20,28,20,84,62,43,20,20,20,101,187,216,222,267,97,127,85,364,53,681,123,185,147,123,32,278,79,281,527,92,204,329,209,297,64,237,20,105,20,28,20,38,20,130,47,20,41
