SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,X72964_at,X99350_rna1_at,U85611_at,X76105_at,U57629_at,M97676_at,D14662_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,U39817_at,M57466_s_at,M63623_at,U20350_at,L20971_at,U02566_s_at,X96753_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U45955_at,D16481_at,X04828_at,U07802_at,D50310_at,Z69915_at,U48705_rna1_s_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,HG4115-HT4385_at,L42563_at,Z34975_at,Z80788_at,Z21707_at,M19722_at,U48865_s_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at,Y07604_at,X05130_s_at,AJ001421_at,D45248_at,D42041_at,X62515_s_at,M61832_s_at
1,20,77,20,20,20,20,20,76,126,20,72,164,21,53,243,20,20,20,20,21,40,20,20,20,101,20,20,22,25,20,66,931,724,105,80,179,121,592,54,104,35,72,989,160,188,20,20,124,20,81,200,49,168,115,33,106,20,69,65,42,189,68,338,43,52,20,99,20,193,415,79,141,178,20,224
2,29,43,20,28,24,20,20,20,68,20,52,62,20,73,228,20,20,20,45,54,26,23,20,20,82,20,20,73,211,20,69,845,579,60,68,192,59,317,154,145,23,62,1120,172,131,20,20,127,20,83,228,31,148,133,39,167,20,71,82,28,152,33,198,42,53,60,78,20,80,243,104,84,103,22,132
3,28,20,20,25,20,72,64,26,170,20,55,80,20,58,185,20,20,20,20,20,20,20,20,20,20,20,20,292,20,36,71,1107,608,25,41,215,64,387,133,128,59,46,1232,184,156,20,20,126,20,60,206,39,139,117,42,147,20,67,63,38,95,20,197,87,20,23,68,20,143,263,98,201,182,20,107
4,22,20,20,37,26,90,44,110,147,23,84,183,22,63,238,20,20,20,20,31,87,20,20,20,20,20,20,50,21,26,74,1187,619,55,87,187,74,312,148,130,126,66,1132,164,198,24,20,126,20,81,219,33,116,117,39,107,20,61,106,52,208,46,365,49,85,41,127,20,199,390,94,143,249,43,183
5,24,20,23,21,20,76,31,20,190,26,58,82,20,71,173,20,20,32,20,20,21,42,20,20,39,20,23,51,20,20,93,969,676,40,20,263,24,370,65,90,20,61,1030,157,193,41,20,136,20,75,222,42,150,128,50,112,20,72,93,46,124,20,195,41,24,27,98,20,109,239,70,177,200,25,124
6,33,20,20,37,25,103,40,20,225,20,56,208,20,63,138,20,20,20,20,20,31,98,20,20,20,20,20,212,20,20,99,1172,651,34,121,233,30,278,122,81,118,33,814,158,171,34,20,127,20,77,244,36,119,128,51,113,27,65,78,38,96,20,73,67,20,20,84,20,109,293,123,174,191,20,121
7,25,20,20,51,20,53,98,20,161,20,31,54,27,73,279,20,20,20,20,20,20,20,20,20,20,20,20,58,20,20,85,1010,751,61,29,252,37,281,20,61,20,39,703,186,142,20,20,138,20,74,248,47,135,148,61,204,20,69,57,46,97,20,64,47,20,20,108,20,65,261,68,199,128,20,163
8,20,20,20,20,20,20,20,20,97,20,61,20,20,91,52,20,20,20,20,20,20,20,20,20,193,20,20,20,20,24,101,588,243,32,28,173,31,197,20,44,29,65,1034,184,67,37,20,220,40,119,354,87,196,211,87,144,47,69,81,71,275,20,130,20,20,77,98,20,189,113,37,42,118,45,74
9,20,20,20,20,20,32,22,20,200,20,55,20,20,153,52,20,20,20,20,20,20,30,20,20,62,20,28,88,20,41,35,928,927,20,20,200,53,199,103,47,103,94,1321,124,167,20,20,166,20,122,321,64,154,173,98,146,42,71,20,57,290,20,96,20,20,20,90,20,116,191,22,27,104,39,59
10,20,20,20,20,20,20,20,20,129,20,60,20,20,74,113,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,110,469,927,31,20,154,57,291,82,46,20,44,716,159,41,23,20,198,20,102,341,68,162,187,91,129,20,70,33,41,320,20,269,20,24,20,88,20,446,176,104,21,116,24,173
