SNO,X03363_s_at,X05908_at,U00921_at,AF000424_s_at,S82470_at,U16954_at,U52155_at,M61156_at,D83174_s_at,U47621_at
1,20,77,20,20,66,931,20,20,189,68
2,29,43,20,20,69,845,20,20,152,33
3,28,20,20,20,71,1107,20,20,95,20
4,22,20,20,20,74,1187,24,20,208,46
5,24,20,20,20,93,969,41,20,124,20
6,33,20,20,20,99,1172,34,20,96,20
7,25,20,20,20,85,1010,20,20,97,20
8,20,20,20,20,101,588,37,20,275,20
9,20,20,20,20,35,928,20,20,290,20
10,20,20,20,20,110,469,23,20,320,20
11,20,20,20,20,65,579,20,20,172,20
12,20,20,20,20,20,1237,30,20,147,20
13,20,20,20,20,20,812,20,21,127,20
14,20,20,20,20,20,649,26,20,148,20
15,70,51,20,20,113,70,20,20,893,20
16,20,20,20,20,20,1032,20,20,165,20
17,23,29,20,20,98,880,20,20,475,20
18,20,20,20,20,129,984,33,20,207,20
19,20,20,20,20,99,1159,32,20,171,20
20,20,20,20,20,20,1108,20,20,162,20
21,20,20,20,20,55,740,28,20,205,20
22,20,20,20,20,20,1443,32,21,137,20
23,20,20,20,20,20,808,20,20,177,20
24,20,20,20,20,20,945,20,20,135,20
25,20,20,20,20,124,861,75,25,130,20
26,30,20,20,20,100,981,66,20,134,20
27,20,20,20,20,25,378,22,20,764,20
28,20,24,20,20,54,626,20,25,326,20
29,21,20,20,20,52,1102,33,23,222,20
30,31,20,20,20,89,387,47,21,267,20
31,20,20,20,20,20,682,23,20,48,20
32,20,20,46,20,120,747,36,20,131,20
33,54,20,20,20,84,407,24,20,567,29
34,20,20,20,20,67,699,46,20,184,20
35,20,20,20,20,83,874,20,25,144,20
36,20,20,20,20,69,872,29,20,187,25
37,30,20,20,20,62,848,34,20,209,20
38,37,20,20,20,76,1069,20,20,107,20
39,20,20,20,20,48,786,33,20,208,20
40,27,20,20,20,142,337,110,24,175,20
41,28,52,20,20,156,276,98,23,20,20
42,20,20,20,20,127,169,118,27,199,20
43,34,152,20,20,113,309,56,40,363,20
44,30,20,20,20,164,486,118,40,179,20
45,27,20,20,20,111,177,98,30,175,20
46,20,30,20,20,216,222,123,32,237,20
47,37,86,20,20,140,607,26,20,951,88
48,102,20,20,20,143,108,20,20,1610,149
49,49,83,20,20,144,211,43,20,1534,108
50,49,20,20,20,90,455,25,20,818,74
51,30,24,20,20,254,261,20,20,2096,112
52,83,72,20,20,229,54,20,20,1019,122
53,23,292,33,22,97,71,20,22,1717,174
54,184,462,20,20,231,75,31,20,196,24
55,158,952,25,20,157,46,27,20,125,20
56,176,621,20,20,203,114,29,21,337,32
57,93,480,20,20,199,191,20,20,526,74
58,74,172,20,20,180,434,22,20,441,108
59,148,141,20,20,198,155,20,20,239,61
60,112,260,22,20,94,176,26,21,975,113
61,103,395,26,20,184,323,20,20,297,43
62,137,503,20,20,220,49,20,20,227,23
63,56,510,44,34,144,320,24,20,645,59
64,39,95,155,128,201,335,35,20,157,20
65,39,148,92,63,195,352,32,20,123,27
66,37,184,118,73,177,329,44,21,144,20
67,39,147,115,102,199,313,32,23,166,37
68,41,147,102,94,190,287,30,20,149,20
69,45,160,119,92,203,269,34,20,121,20
EPD_T,12.711130572248482,11.80371653941342,0.7052301650249635,0.8136963924219928,4.088469555026475,4.044659480841546,1.5878959884772263,1.1468348338125554,0.3427708492943491,1.8874575597964833
JPA_T,0.21974045021354652,0.6237465619678247,30.130451047298486,25.985897061072464,3.5558885269105738,1.9093108049541476,0.12614366985465747,0.5520182190723057,1.3337073642754407,0.9576965498623948
MED_T,5.326990759530301,5.1711242607339996,3.174608639998446,3.0510650130442882,10.976900168041919,10.791074972558896,2.6164075284428194,2.441858856054896,3.23470231973796,4.4318569163336266
MGL_T,1.1864824566292582,0.9501284214231107,0.9441426984595065,0.847023343620356,1.5511805394964322,2.3529127601778184,15.10815238395816,10.908129007850295,1.1159189285894313,1.3747602068929519
RHB_T,0.6883506346264271,0.3013629724018053,0.7582212436243607,0.8093770819078945,1.9985616978977419,2.6059417948582113,1.181920948265848,0.8717445551651436,12.66302364217869,10.685778012143398
Class,EPD,EPD,JPA,JPA,MED,MED,MGL,MGL,RHB,RHB
