SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,U52155_at,M61156_at,M77235_at,L14856_at,D83174_s_at,U47621_at,J03191_at,U41387_at
1,20,77,20,20,20,20,20,20,66,931,724,105,20,20,124,20,189,68,338,43
2,29,43,20,28,20,20,20,45,69,845,579,60,20,20,127,20,152,33,198,42
3,28,20,20,25,20,20,20,20,71,1107,608,25,20,20,126,20,95,20,197,87
4,22,20,20,37,20,20,20,20,74,1187,619,55,24,20,126,20,208,46,365,49
5,24,20,23,21,20,20,32,20,93,969,676,40,41,20,136,20,124,20,195,41
6,33,20,20,37,20,20,20,20,99,1172,651,34,34,20,127,20,96,20,73,67
7,25,20,20,51,20,20,20,20,85,1010,751,61,20,20,138,20,97,20,64,47
8,20,20,20,20,20,20,20,20,101,588,243,32,37,20,220,40,275,20,130,20
9,20,20,20,20,20,20,20,20,35,928,927,20,20,20,166,20,290,20,96,20
10,20,20,20,20,20,20,20,20,110,469,927,31,23,20,198,20,320,20,269,20
11,20,20,20,20,20,20,20,20,65,579,606,20,20,20,251,39,172,20,20,20
12,20,20,20,20,20,20,20,20,20,1237,871,20,30,20,238,47,147,20,133,20
13,20,20,20,20,20,20,25,20,20,812,1066,20,20,21,148,58,127,20,90,20
14,20,20,20,22,20,20,20,20,20,649,568,20,26,20,160,20,148,20,135,20
15,70,51,20,31,20,20,20,125,113,70,466,109,20,20,115,20,893,20,878,37
16,20,20,20,23,20,20,20,20,20,1032,746,30,20,20,155,20,165,20,223,29
17,23,29,20,23,20,20,20,20,98,880,472,95,20,20,154,33,475,20,365,63
18,20,20,20,23,20,20,20,20,129,984,581,48,33,20,177,31,207,20,367,63
19,20,20,20,34,20,20,20,20,99,1159,604,54,32,20,158,25,171,20,181,52
20,20,20,20,23,20,20,20,20,20,1108,908,24,20,20,140,32,162,20,305,23
21,20,20,20,29,20,20,20,20,55,740,699,52,28,20,121,20,205,20,219,20
22,20,20,20,26,20,20,20,20,20,1443,964,22,32,21,138,47,137,20,28,20
23,20,20,20,47,20,20,28,20,20,808,732,33,20,20,211,20,177,20,20,20
24,20,20,20,20,20,20,20,20,20,945,830,20,20,20,192,20,135,20,20,20
25,20,20,20,42,20,20,57,20,124,861,1093,30,75,25,227,20,130,20,113,20
26,30,20,20,42,20,20,20,20,100,981,515,59,66,20,144,41,134,20,122,98
27,20,20,20,20,20,20,20,20,25,378,634,27,22,20,109,20,764,20,274,20
28,20,24,20,35,20,20,20,20,54,626,534,69,20,25,196,23,326,20,176,61
29,21,20,20,20,20,20,28,20,52,1102,830,36,33,23,90,20,222,20,237,20
30,31,20,20,32,20,20,22,20,89,387,467,72,47,21,178,20,267,20,155,86
31,20,20,20,42,20,20,40,20,20,682,1106,20,23,20,206,20,48,20,20,27
32,20,20,20,32,46,20,22,20,120,747,842,54,36,20,167,20,131,20,51,20
33,54,20,20,31,20,20,20,20,84,407,573,102,24,20,134,20,567,29,309,187
34,20,20,20,23,20,20,26,20,67,699,576,45,46,20,204,20,184,20,112,24
35,20,20,20,32,20,20,39,20,83,874,696,90,20,25,185,38,144,20,106,46
36,20,20,20,38,20,20,20,20,69,872,791,64,29,20,182,20,187,25,196,55
37,30,20,20,41,20,20,20,20,62,848,631,63,34,20,181,42,209,20,309,31
38,37,20,20,36,20,20,28,20,76,1069,819,59,20,20,158,20,107,20,20,33
39,20,20,20,47,20,20,20,20,48,786,751,35,33,20,218,20,208,20,126,24
40,27,20,20,27,20,20,21,231,142,337,183,46,110,24,331,66,175,20,30,20
41,28,52,20,55,20,20,20,45,156,276,250,84,98,23,272,58,20,20,112,20
42,20,20,20,58,20,20,23,112,127,169,225,64,118,27,348,104,199,20,121,20
43,34,152,20,31,20,20,24,205,113,309,265,72,56,40,208,40,363,20,320,20
44,30,20,20,39,20,20,58,335,164,486,167,65,118,40,286,44,179,20,20,29
45,27,20,20,36,20,20,21,110,111,177,93,85,98,30,317,98,175,20,47,20
46,20,30,20,47,20,20,28,20,216,222,267,97,123,32,278,79,237,20,105,20
47,37,86,20,22,20,20,20,204,140,607,452,151,26,20,138,20,951,88,721,189
48,102,20,35,20,20,20,20,322,143,108,275,116,20,20,157,20,1610,149,1132,209
49,49,83,20,26,20,20,20,20,144,211,395,142,43,20,144,35,1534,108,924,166
50,49,20,22,37,20,20,20,20,90,455,508,256,25,20,164,20,818,74,881,174
51,30,24,20,20,20,20,26,20,254,261,515,143,20,20,116,26,2096,112,754,279
52,83,72,34,39,20,20,60,120,229,54,404,180,20,20,93,20,1019,122,1029,171
53,23,292,20,26,33,22,20,158,97,71,187,166,20,22,94,50,1717,174,739,38
54,184,462,83,182,20,20,20,20,231,75,263,167,31,20,143,37,196,24,154,20
55,158,952,85,223,25,20,20,20,157,46,226,142,27,20,107,28,125,20,73,20
56,176,621,155,183,20,20,20,29,203,114,288,165,29,21,108,31,337,32,416,38
57,93,480,82,82,20,20,22,83,199,191,428,188,20,20,120,20,526,74,605,40
58,74,172,66,56,20,20,20,62,180,434,608,209,22,20,100,20,441,108,458,57
59,148,141,89,77,20,20,20,20,198,155,381,191,20,20,170,20,239,61,120,20
60,112,260,20,66,22,20,20,257,94,176,193,138,26,21,100,23,975,113,306,22
61,103,395,180,152,26,20,31,285,184,323,329,217,20,20,129,20,297,43,237,48
62,137,503,166,82,20,20,20,341,220,49,226,141,20,20,96,20,227,23,353,97
