SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at
1,20,77,20,20,20,20,20,20,20,20,21,40,66,931,724,105,80,179,20,20,124,20,81,200,189,68,338,43,52,20
2,29,43,20,28,24,20,20,20,20,45,54,26,69,845,579,60,68,192,20,20,127,20,83,228,152,33,198,42,53,60
3,28,20,20,25,20,72,20,20,20,20,20,20,71,1107,608,25,41,215,20,20,126,20,60,206,95,20,197,87,20,23
4,22,20,20,37,26,90,20,20,20,20,31,87,74,1187,619,55,87,187,24,20,126,20,81,219,208,46,365,49,85,41
5,24,20,23,21,20,76,20,20,32,20,20,21,93,969,676,40,20,263,41,20,136,20,75,222,124,20,195,41,24,27
6,33,20,20,37,25,103,20,20,20,20,20,31,99,1172,651,34,121,233,34,20,127,20,77,244,96,20,73,67,20,20
7,25,20,20,51,20,53,20,20,20,20,20,20,85,1010,751,61,29,252,20,20,138,20,74,248,97,20,64,47,20,20
8,20,20,20,20,20,20,20,20,20,20,20,20,101,588,243,32,28,173,37,20,220,40,119,354,275,20,130,20,20,77
9,20,20,20,20,20,32,20,20,20,20,20,20,35,928,927,20,20,200,20,20,166,20,122,321,290,20,96,20,20,20
10,20,20,20,20,20,20,20,20,20,20,20,20,110,469,927,31,20,154,23,20,198,20,102,341,320,20,269,20,24,20
11,20,20,20,20,20,20,20,20,20,20,20,20,65,579,606,20,20,170,20,20,251,39,158,308,172,20,20,20,20,20
12,20,20,20,20,20,20,20,20,20,20,20,20,20,1237,871,20,20,299,30,20,238,47,124,336,147,20,133,20,20,20
13,20,20,20,20,20,20,20,20,25,20,20,20,20,812,1066,20,20,298,20,21,148,58,112,295,127,20,90,20,20,20
14,20,20,20,22,20,37,20,20,20,20,20,20,20,649,568,20,20,261,26,20,160,20,73,262,148,20,135,20,20,20
15,70,51,20,31,20,61,20,20,20,125,20,20,113,70,466,109,138,131,20,20,115,20,83,260,893,20,878,37,47,20
16,20,20,20,23,20,20,20,20,20,20,20,20,20,1032,746,30,45,215,20,20,155,20,50,270,165,20,223,29,20,22
17,23,29,20,23,22,71,20,20,20,20,34,52,98,880,472,95,58,142,20,20,154,33,123,264,475,20,365,63,94,143
18,20,20,20,23,20,103,20,20,20,20,20,49,129,984,581,48,47,171,33,20,177,31,97,256,207,20,367,63,49,62
19,20,20,20,34,20,64,20,20,20,20,20,20,99,1159,604,54,31,185,32,20,158,25,109,277,171,20,181,52,39,20
20,20,20,20,23,20,61,20,20,20,20,20,20,20,1108,908,24,36,178,20,20,140,32,39,294,162,20,305,23,20,20
21,20,20,20,29,20,37,20,20,20,20,28,20,55,740,699,52,66,222,28,20,121,20,49,277,205,20,219,20,23,21
22,20,20,20,26,20,20,20,20,20,20,20,20,20,1443,964,22,23,315,32,21,138,47,55,237,137,20,28,20,26,20
23,20,20,20,47,20,20,20,20,28,20,20,20,20,808,732,33,20,120,20,20,211,20,53,299,177,20,20,20,20,167
24,20,20,20,20,20,46,20,20,20,20,20,20,20,945,830,20,20,101,20,20,192,20,106,234,135,20,20,20,29,200
25,20,20,20,42,20,45,20,20,57,20,20,20,124,861,1093,30,20,152,75,25,227,20,92,250,130,20,113,20,23,20
26,30,20,20,42,20,115,20,20,20,20,20,20,100,981,515,59,23,259,66,20,144,41,65,201,134,20,122,98,31,20
27,20,20,20,20,20,20,20,20,20,20,20,20,25,378,634,27,20,186,22,20,109,20,84,225,764,20,274,20,20,20
28,20,24,20,35,20,20,20,20,20,20,20,20,54,626,534,69,20,219,20,25,196,23,142,325,326,20,176,61,66,20
29,21,20,20,20,20,20,20,20,28,20,20,20,52,1102,830,36,20,196,33,23,90,20,88,265,222,20,237,20,20,20
30,31,20,20,32,20,37,20,20,22,20,20,27,89,387,467,72,38,111,47,21,178,20,86,289,267,20,155,86,26,20
31,20,20,20,42,20,20,20,20,40,20,36,20,20,682,1106,20,20,147,23,20,206,20,57,271,48,20,20,27,20,106
32,20,20,20,32,20,168,46,20,22,20,20,20,120,747,842,54,20,137,36,20,167,20,76,291,131,20,51,20,20,86
33,54,20,20,31,24,20,20,20,20,20,20,20,84,407,573,102,85,189,24,20,134,20,113,229,567,29,309,187,35,20
34,20,20,20,23,20,20,20,20,26,20,20,20,67,699,576,45,26,148,46,20,204,20,172,399,184,20,112,24,30,20
35,20,20,20,32,26,20,20,20,39,20,20,25,83,874,696,90,38,204,20,25,185,38,142,303,144,20,106,46,23,20
36,20,20,20,38,20,20,20,20,20,20,20,40,69,872,791,64,38,208,29,20,182,20,105,269,187,25,196,55,35,20
37,30,20,20,41,20,20,20,20,20,20,20,20,62,848,631,63,49,185,34,20,181,42,96,287,209,20,309,31,33,20
38,37,20,20,36,24,20,20,20,28,20,20,20,76,1069,819,59,111,171,20,20,158,20,80,273,107,20,20,33,21,20
39,20,20,20,47,20,20,20,20,20,20,20,20,48,786,751,35,20,200,33,20,218,20,162,301,208,20,126,24,24,20
40,27,20,20,27,20,45,20,20,21,231,36,20,142,337,183,46,73,125,110,24,331,66,196,428,175,20,30,20,27,20
41,28,52,20,55,20,106,20,20,20,45,98,24,156,276,250,84,57,103,98,23,272,58,159,357,20,20,112,20,35,20
42,20,20,20,58,20,239,20,20,23,112,40,20,127,169,225,64,232,91,118,27,348,104,302,485,199,20,121,20,25,20
43,34,152,20,31,20,115,20,20,24,205,99,20,113,309,265,72,369,146,56,40,208,40,127,341,363,20,320,20,45,104
44,30,20,20,39,20,104,20,20,58,335,63,33,164,486,167,65,201,138,118,40,286,44,223,407,179,20,20,29,51,20
45,27,20,20,36,20,207,20,20,21,110,44,20,111,177,93,85,82,125,98,30,317,98,277,487,175,20,47,20,33,20
