SNO,X03363_s_at,X05908_at,U15131_at,L49054_at,M31516_s_at,U53204_at,L25878_s_at,U90913_at,U00921_at,AF000424_s_at,U79242_at,U59877_s_at,D13631_s_at,U67156_at,S95936_at,U25956_at,S82470_at,U16954_at,M31303_rna1_at,L36818_at,L13977_at,U79262_at,L48513_at,D80004_at,U52155_at,M61156_at,M77235_at,L14856_at,X03934_at,U12707_s_at,X52011_at,Z29074_at,D83174_s_at,U47621_at,J03191_at,U41387_at,L12535_at,L06419_at,M88458_at,M14949_at
1,20,77,20,20,20,20,20,76,20,20,20,20,21,40,20,20,66,931,724,105,80,179,121,592,20,20,124,20,81,200,49,168,189,68,338,43,52,20,99,20
2,29,43,20,28,24,20,20,20,20,20,20,45,54,26,23,20,69,845,579,60,68,192,59,317,20,20,127,20,83,228,31,148,152,33,198,42,53,60,78,20
3,28,20,20,25,20,72,64,26,20,20,20,20,20,20,20,20,71,1107,608,25,41,215,64,387,20,20,126,20,60,206,39,139,95,20,197,87,20,23,68,20
4,22,20,20,37,26,90,44,110,20,20,20,20,31,87,20,20,74,1187,619,55,87,187,74,312,24,20,126,20,81,219,33,116,208,46,365,49,85,41,127,20
5,24,20,23,21,20,76,31,20,20,20,32,20,20,21,42,20,93,969,676,40,20,263,24,370,41,20,136,20,75,222,42,150,124,20,195,41,24,27,98,20
6,33,20,20,37,25,103,40,20,20,20,20,20,20,31,98,20,99,1172,651,34,121,233,30,278,34,20,127,20,77,244,36,119,96,20,73,67,20,20,84,20
7,25,20,20,51,20,53,98,20,20,20,20,20,20,20,20,20,85,1010,751,61,29,252,37,281,20,20,138,20,74,248,47,135,97,20,64,47,20,20,108,20
8,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,101,588,243,32,28,173,31,197,37,20,220,40,119,354,87,196,275,20,130,20,20,77,98,20
9,20,20,20,20,20,32,22,20,20,20,20,20,20,20,30,20,35,928,927,20,20,200,53,199,20,20,166,20,122,321,64,154,290,20,96,20,20,20,90,20
10,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,110,469,927,31,20,154,57,291,23,20,198,20,102,341,68,162,320,20,269,20,24,20,88,20
11,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32,20,65,579,606,20,20,170,20,68,20,20,251,39,158,308,72,190,172,20,20,20,20,20,25,20
